sno,act,srcUpdateTime,total,latitude,longitude,available_return_bikes
500111014,1,2024-07-23 01:44:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:45:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:46:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:47:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:48:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:49:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:50:27,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:51:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:52:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:53:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:54:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:55:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:56:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:57:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:58:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:59:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:00:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:01:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:02:23,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:03:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:04:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:05:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:06:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:07:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:08:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:09:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:10:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:11:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:12:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:13:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:14:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:15:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:16:20,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:17:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:18:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:19:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:20:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:21:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:22:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:23:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:24:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:25:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:26:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:27:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:28:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:29:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:30:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:31:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:32:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:33:26,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:34:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:35:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:36:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:37:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:38:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:39:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:41:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:42:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:43:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:44:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:45:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:46:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:47:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:48:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:49:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:50:27,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:51:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:52:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:53:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:54:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:55:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:56:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:57:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:58:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 02:59:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:00:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:01:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:02:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:03:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:04:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:05:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:06:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:07:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:08:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:09:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:10:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:11:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:12:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:13:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:14:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:15:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:16:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:17:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:17:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:18:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:20:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:21:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:22:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:23:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:24:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:25:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:26:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:27:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:28:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:29:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:30:27,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:31:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:32:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:33:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:34:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:35:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:36:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:37:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:38:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:39:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:40:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:41:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:42:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:43:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:44:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:45:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:46:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:47:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:48:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:49:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:50:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:51:24,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:52:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:53:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:54:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:55:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:56:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:57:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:58:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 03:59:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:00:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:01:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:02:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:03:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:04:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:05:21,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:06:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:07:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:08:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:09:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 04:10:28,40,25.04697,121.61375,6
